bead_id,title,status_in_beads,dependency_summary,acceptance_criteria_summary,files_checked,implementation_verdict,evidence,tests_covering_it,follow_up_needed
sam-0up,Local IPC Integration,open,blocks:sam-lfi; blocks:sam-pjm,Protocol messages are validated and versioned. | Reconnect and error cases are handled. | End-to-end user loop is stable under interruption.,backend/samantha/ws_server.py; backend/samantha/events.py; backend/samantha/runtime.py; app/Samantha/SamanthaApp.swift; app/Samantha/WebSocketClient.swift,Partially complete,"Protocol versioning, backend websocket/runtime bridging, and a Swift websocket client now exist in source. The remaining gap is full macOS build/runtime verification and the final app-driven end-to-end loop.",backend/tests/test_ws_server.py; backend/tests/test_runtime.py; backend/tests/test_e2e.py; backend/tests/test_mock_client.py,Yes - verify the Swift/macOS path end to end and finish the remaining app/backend integration.
sam-0up.1,Implement Python ws_server protocol handling for audio and control,closed,parent-child:sam-0up; blocks:sam-lfi.1; blocks:sam-lfi.2; blocks:sam-lfi.3,Binary and text messages are parsed correctly. | Invalid messages are rejected safely. | Server remains stable under continuous streaming.,backend/samantha/ws_server.py,Verified complete,"WebSocket server handles binary audio, control messages, validation, outgoing JSON/audio, and single-client enforcement; unit tests and a live runtime smoke connection passed.",backend/tests/test_ws_server.py; backend/tests/test_e2e.py::test_ws_server_with_client; live websocket smoke against .venv/bin/samantha,No
sam-0up.2,Implement Swift WebSocket client with reconnect and callbacks,in_progress,parent-child:sam-0up; blocks:sam-pjm.1; blocks:sam-pjm.3,Client connects/disconnects predictably. | Reconnect works for transient failures. | Event callbacks are delivered in order.,app/Samantha/WebSocketClient.swift; app/Samantha/SamanthaApp.swift,Partially complete,"A URLSessionWebSocketTask-based client with reconnect, protocol validation, event callbacks, audio delivery, and app-tool RPC handling now exists in source and is wired from SamanthaApp. It remains unverified at runtime because there is still no checked-in project/workspace or macOS build path in this environment.",No Swift tests found,Yes - build and verify the Swift websocket client on macOS and add focused Swift tests.
sam-0up.3,Define IPC schema versioning and message validation contract,closed,parent-child:sam-0up; blocks:sam-0up.1; blocks:sam-0up.2,Version field and compatibility policy are defined. | Both sides validate message payloads. | Schema errors are surfaced with actionable diagnostics.,backend/samantha/protocol.py; backend/samantha/ws_server.py; app/Samantha/WebSocketClient.swift; docs/ipc-protocol.md,Verified complete,"Protocol versioning is centralized in backend/samantha/protocol.py, websocket payloads are validated, the Swift client rejects unsupported protocol versions, and docs/ipc-protocol.md defines the compatibility policy.",backend/tests/test_ws_server.py; backend/tests/test_mock_client.py,No
sam-0up.4,"Implement backend-to-swift event bridge for state, tools, and transcripts",open,parent-child:sam-0up; blocks:sam-0up.1; blocks:sam-0up.2; blocks:sam-0up.3,State change events are accurate and timely. | Tool start/end events include required context. | Transcript events preserve partial/final semantics.,backend/samantha/events.py; backend/samantha/ws_server.py; backend/samantha/main.py; backend/samantha/runtime.py,Partially complete,"The backend now forwards live state, tool, transcript, approval, and audio events over websocket; the remaining gap is the missing Swift websocket client and app-side consumption path.",backend/tests/test_events.py; backend/tests/test_runtime.py; live websocket smoke against .venv/bin/samantha,Yes - implement the Swift websocket client and verify end-to-end consumption.
sam-f8l,Implement macOS frontmost_app_context provider,in_progress,parent-child:sam-0up,Frontmost app name, window title, and current URL or file path are returned when available. | Provider is wired into app-tool RPC.,app/Samantha/DesktopContextToolExecutor.swift; app/Samantha/WebSocketClient.swift,Partially complete,"DesktopContextToolExecutor implements frontmost app metadata, best-effort window-title lookup, and best-effort browser URL/Finder path extraction, and WebSocketClient routes app_tool_call to it. Runtime verification is still blocked by the missing macOS build path.",No Swift tests found,Yes - verify on macOS and expand app-specific context extraction as needed.
sam-qjl,Implement macOS full-display capture provider,in_progress,parent-child:sam-0up,Full-display screenshots are captured and returned over app-tool RPC. | First phase remains free of extra approval prompts.,app/Samantha/DesktopContextToolExecutor.swift; app/Samantha/WebSocketClient.swift; backend/samantha/tools.py,Partially complete,"DesktopContextToolExecutor returns full-display PNG screenshots as base64 over app-tool RPC, and the backend consumes them through capture_display. Backend-side RPC integration is tested with the mock websocket harness; the real macOS capture path remains unverified in this environment.",backend/tests/test_ws_server.py; backend/tests/test_mock_client.py; backend/tests/test_e2e.py,Yes - verify display capture on macOS and validate screenshot permissions/runtime behavior.
sam-qpb,Document deferred computer-use phase after screenshot rollout,closed,parent-child:sam-0up,First screenshot phase stops at frontmost_app_context plus capture_display. | Broader computer use is explicitly deferred.,docs/spec.md; docs/architecture.md; docs/building-agents-reference.md; AGENTS.md,Verified complete,"The product, architecture, and build-reference docs now consistently scope the first macOS visual-context phase to frontmost_app_context plus capture_display and explicitly defer broader computer use.",None required,No
sam-0up.5,Deliver end-to-end voice loop integration with interruption,open,parent-child:sam-0up; blocks:sam-0up.4; blocks:sam-lfi.6; blocks:sam-pjm.5,User can start a turn and hear response audio. | User can interrupt and continue speaking in same session. | Final states return to idle cleanly after each turn.,backend/samantha/ws_server.py; backend/samantha/runtime.py; app/Samantha/AudioManager.swift; app/Samantha/SamanthaApp.swift,Partially complete,"The backend realtime voice loop now works, streams audio, and supports interruption, but there is still no implemented Swift websocket client or app-side playback verification, so the full user flow is not yet shippable.",backend/tests/test_runtime.py; backend/tests/test_e2e.py; live websocket smoke against .venv/bin/samantha,Yes - finish the IPC client/bridge and verify the full turn cycle.
sam-739,Foundation and Delivery Baseline,closed,None,Backend/app directory contracts are explicit and current. | Local development start path is documented and repeatable. | Baseline lint/test commands are defined for both stacks.,backend/pyproject.toml; scripts/dev.sh; app/Samantha/*; docs/architecture.md; docs/spec.md,Partially complete,"Backend foundation is present and tested, but the repo lacks a checked-in Swift project/build/test path despite the documented app contract.",backend/tests/test_scaffold.py; backend/tests/test_structure.py; scripts/dev.sh,Yes - define and check in the canonical Swift build/test path.
